Date/Time,Ozone(ppb),PM10(ug/m3),PM2.5(ug/m3),Wind Speed(mph),Wind Direction(degrees),Temperature (F)
12/05/2017 06 AM,32,33,9,13,37 (NE),51
12/05/2017 05 AM,NA,27,8,12,32 (NE),51
12/05/2017 04 AM,33,24,7,12,39 (NE),52
12/05/2017 03 AM,32,23,9,7,39 (NE),52
12/05/2017 02 AM,31,21,7,8,31 (NE),52
12/05/2017 01 AM,32,25,7,7,35 (NE),52
12/05/2017 12 AM,33,30,5,11,39 (NE),53
12/04/2017 11 PM,34,33,7,14,46 (NE),54
12/04/2017 10 PM,34,29,5,9,49 (NE),55
12/04/2017 09 PM,33,44,4,5,52 (NE),56
12/04/2017 08 PM,32,26,4,9,55 (NE),56
12/04/2017 07 PM,32,41,3,12,55 (NE),56
12/04/2017 06 PM,32,42,3,11,50 (NE),58
12/04/2017 05 PM,32,24,4,9,39 (NE),61
12/04/2017 04 PM,34,19,4,9,36 (NE),63
12/04/2017 03 PM,36,17,2,8,39 (NE),64
12/04/2017 02 PM,38,15,1,4,10 (N),64
12/04/2017 01 PM,37,15,2,5,28 (NE),63
12/04/2017 12 PM,36,15,1,9,35 (NE),61
12/04/2017 11 AM,35,15,0,9,41 (NE),59
12/04/2017 10 AM,34,15,4,9,49 (NE),57
12/04/2017 09 AM,33,19,5,11,50 (NE),54
12/04/2017 08 AM,34,11,3,10,47 (NE),53
12/04/2017 07 AM,34,11,5,7,48 (NE),53
12/04/2017 06 AM,35,11,1,8,56 (NE),53
12/04/2017 05 AM,35,46,0,11,73 (E),53
12/04/2017 04 AM,36,28,3,13,52 (NE),53
12/04/2017 03 AM,37,32,4,13,50 (NE),54
12/04/2017 02 AM,37,36,3,13,52 (NE),54
12/04/2017 01 AM,37,36,2,13,48 (NE),54
12/04/2017 12 AM,37,66,2,14,39 (NE),54
12/03/2017 11 PM,36,32,0,11,20 (N),54
12/03/2017 10 PM,37,34,-1,12,20 (N),55
12/03/2017 09 PM,37,24,2,11,25 (NE),56
12/03/2017 08 PM,36,14,2,11,26 (NE),57
12/03/2017 07 PM,36,15,2,10,25 (NE),58
12/03/2017 06 PM,37,22,4,10,26 (NE),60
12/03/2017 05 PM,39,34,6,12,41 (NE),61
12/03/2017 04 PM,40,30,8,11,45 (NE),64
12/03/2017 03 PM,41,36,8,11,37 (NE),66
12/03/2017 02 PM,40,40,7,9,27 (NE),67
12/03/2017 01 PM,38,29,5,9,8 (N),67
12/03/2017 12 PM,37,30,6,7,359 (N),65
12/03/2017 11 AM,29,18,4,4,322 (NW),62
12/03/2017 10 AM,20,22,7,2,238 (SW),56
12/03/2017 09 AM,15,8,5,0,121 (SE),52
12/03/2017 08 AM,9,11,5,2,91 (E),46
12/03/2017 07 AM,8,11,2,2,97 (E),46
12/03/2017 06 AM,14,4,2,3,101 (E),46
12/03/2017 05 AM,NA,6,2,4,88 (E),46
12/03/2017 04 AM,14,9,2,3,85 (E),46
12/03/2017 03 AM,16,9,3,4,95 (E),46
12/03/2017 02 AM,17,15,3,2,85 (E),47
